id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
RasaHQ/rasa-calm-demo__domain/nlu-based;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;2023-12-26T11:04:18Z;2025-01-07T11:49:09Z;2025-01-10T11:12:46Z;main;RasaHQ;21214473;Organization;79f664fa442abeb4ce8621f4151c2aab3631f902;2025-01-07T11:49:05Z;domain/nlu-based;['domain/nlu-based/restaurant.yml', 'domain/nlu-based/hotel_search.yml', 'domain/nlu-based/health_advice.yml'];3;['data/nlu-based/nlu.yml'];1;[];0;['README.md'];1;[];0;[]
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;2023-12-26T11:04:18Z;2025-01-07T11:49:09Z;2025-01-10T11:12:46Z;main;RasaHQ;21214473;Organization;79f664fa442abeb4ce8621f4151c2aab3631f902;2025-01-07T11:49:05Z;domain/flows;['domain/flows/verify_account.yml', 'domain/flows/remove_contact.yml', 'domain/flows/replace_card.yml', 'domain/flows/add_contact.yml', 'domain/flows/order_pizza.yml', 'domain/flows/add_card.yml'];6;['data/flows/nlu.yml'];1;[];0;['README.md'];1;[];0;[]
Samupietila/AI-Chatbot__Chatbot/Backups;Samupietila/AI-Chatbot;https://github.com/Samupietila/AI-Chatbot;2;1;2024-09-02T10:22:48Z;2024-12-04T10:55:48Z;2024-12-04T10:55:45Z;main;Samupietila;122264320;User;0da01117b3cc0923d804e5189f4bd8a758542798;2024-12-04T10:55:45Z;Chatbot/Backups;['Chatbot/Backups/domain_all.yml', 'Chatbot/Backups/domain_backup.yml'];2;[];0;[];0;['README.md'];1;[];0;[]
ashwani90/rasa-setup__chat-templates/insurance;ashwani90/rasa-setup;https://github.com/ashwani90/rasa-setup;0;0;2024-09-15T18:50:01Z;2024-10-10T11:47:42Z;2024-10-10T11:47:38Z;main;ashwani90;31037806;User;b9c46309060af6a11c5795c795b2642b24fbe6fa;2024-10-10T11:47:29Z;chat-templates/insurance;['chat-templates/insurance/original_domain.yml', 'chat-templates/insurance/domain.yml'];2;['chat-templates/insurance/data/nlu.yml', 'chat-templates/insurance/data/state_lookup.yml'];2;['chat-templates/insurance/actions/actions.py'];1;['README.md'];1;[];0;[]
Deepam-Rai/helpdesk_chatbot__domain;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;2024-09-17T07:01:52Z;2024-09-30T15:08:07Z;2024-09-30T15:08:04Z;main;Deepam-Rai;78490078;User;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;2024-09-30T15:07:59Z;domain;['domain/domain_about.yml', 'domain/domain_main.yml'];2;['data/nlu/nlu.yml', 'data/nlu/nlu_about.yml', 'data/nlu/nlu_cancel.yml', 'data/nlu/nlu_user_ops.yml', 'data/nlu/staff_ops/nlu_misc.yml', 'data/nlu/staff_ops/nlu_show_user_details.yml'];6;['actions/actions_main.py', 'actions/utils/utils_database.py', 'actions/constants_database.py', 'actions/utils/utils_environment.py', 'actions/constants.py', 'actions/utils/utils.py'];6;['README.md'];1;['config.yml', 'config_2.yml'];2;[]
Deepam-Rai/helpdesk_chatbot__domain/user_ops;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;2024-09-17T07:01:52Z;2024-09-30T15:08:07Z;2024-09-30T15:08:04Z;main;Deepam-Rai;78490078;User;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;2024-09-30T15:07:59Z;domain/user_ops;['domain/user_ops/domain_login_form.yml', 'domain/user_ops/domain_logout_form.yml', 'domain/user_ops/domain_signup_form.yml'];3;[];0;['actions/user_ops/actions_login_form.py', 'actions/user_ops/actions_logout_form.py', 'actions/user_ops/constants.py', 'actions/user_ops/actions_signup_form.py'];4;['README.md'];1;[];0;[]
Deepam-Rai/helpdesk_chatbot__domain/staff_ops;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;2024-09-17T07:01:52Z;2024-09-30T15:08:07Z;2024-09-30T15:08:04Z;main;Deepam-Rai;78490078;User;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;2024-09-30T15:07:59Z;domain/staff_ops;['domain/staff_ops/domain_show_user_details.yml', 'domain/staff_ops/domain_misc.yml'];2;[];0;['actions/staff_ops/constants.py', 'actions/staff_ops/actions_misc.py', 'actions/staff_ops/actions_show_user_details.py'];3;['README.md'];1;[];0;[]
climate-change-bot/chatbot__rasa/domain;climate-change-bot/chatbot;https://github.com/climate-change-bot/chatbot;5;2;2022-10-02T12:30:07Z;2024-09-17T09:45:26Z;2024-09-17T09:45:23Z;main;climate-change-bot;114862651;Organization;99c9c439ecad441f637b63f7c76ef27547b6a0e1;2024-09-17T09:15:19Z;rasa/domain;['rasa/domain/physics.yml', 'rasa/domain/domain.yml', 'rasa/domain/consequences.yml', 'rasa/domain/userActions.yml', 'rasa/domain/food.yml', 'rasa/domain/climateChangeQuestions.yml'];6;['rasa/data/nlu/climateChangeQuestions.yml', 'rasa/data/nlu/consequences.yml', 'rasa/data/nlu/food.yml', 'rasa/data/nlu/nlu.yml', 'rasa/data/nlu/physics.yml', 'rasa/data/nlu/quiz.yml', 'rasa/data/nlu/userActions.yml'];7;['rasa/actions/action_utils/conversation.py', 'rasa/actions/action_utils/openai_api_request.py', 'rasa/actions/validate_quiz_form.py', 'rasa/actions/action_openai_fallback.py', 'rasa/actions/action_reset_slots.py'];5;['README.md'];1;['rasa/config.yml'];1;[]
memercz/chatbot_deployment__data/domain;memercz/chatbot_deployment;https://github.com/memercz/chatbot_deployment;0;0;2024-05-07T09:49:19Z;2024-09-05T17:25:09Z;2024-09-05T17:25:05Z;main;memercz;161113570;User;d6d82010e58dcd50df381fc112e692ce094e1289;2024-09-05T17:25:04Z;data/domain;['data/domain/domain_COURSE_PROSPECTUS.yml', 'data/domain/domain_STUDENT_HANDBOOK.yml', 'data/domain/domain_description_course.yml', 'data/domain/domain_PROCESS_FLOWS_CSM.yml', 'data/domain/domain_FORMS_CSM.yml', 'data/domain/domain_thesis_form.yml', 'data/domain/domain.yml'];7;['data/nlu/nlu.yml', 'data/nlu/nlu_COURSE_PROSPECTUS.yml', 'data/nlu/nlu_FORMS_CSM.yml', 'data/nlu/nlu_PROCESS_FLOWS_CSM.yml', 'data/nlu/nlu_STUDENT_HANDBOOK.yml', 'data/nlu/nlu_entities.yml', 'data/nlu/nlu_thesis_forms.yml'];7;[];0;['README.md'];1;[];0;[]
ankitpatel-akp4/sas-rasa__whatsapp;ankitpatel-akp4/sas-rasa;https://github.com/ankitpatel-akp4/sas-rasa;0;0;2024-05-27T16:23:29Z;2024-06-10T16:55:06Z;2024-06-10T16:50:35Z;main;ankitpatel-akp4;87401919;User;b92b19e9d690a3733bfdc154fe029b80082b0e86;2024-06-05T03:23:31Z;whatsapp;['whatsapp/domain1.yml', 'whatsapp/domain.yml'];2;['whatsapp/data/nlu.yml', 'whatsapp/data/nlu1.yml'];2;['whatsapp/actions/actions.py'];1;[];0;['whatsapp/config.yml'];1;[]
